AGC333494, Fall  , 23h57m02.1s, +29d48m46s, 18.976,  5.63,   9.17, no
AGC333604, Fall  , 23h11m23.2s, +27d56m45s, 19.085,  5.61,   7.94, complete
AGC333613, Fall  , 23h56m58.8s, +29d32m35s, 18.568,  5.11,   8.06, no
AGC334256, Fall  , 23h00m56.4s, +15d20m14s, 18.896,  5.57,   9.38, no
AGC334257, Fall  , 23h02m11.3s, +16d00m48s, 18.789,  5.20,   6.93, no
AGC501816, Spring, 10h05m19.4s, -00d02m26s, 19.180,  5.60,   7.00, no
AGC749140, Fall  , 00h51m16.4s, +15d11m11s, 19.223,  5.50,   5.92, complete
AGC749141, Fall  , 01h02m37.8s, +16d07m52s, 18.647,  5.28,   8.94, no
AGC749166, Fall  , 01h59m58.7s, +16d05m25s, 18.975,  5.66,   9.49, no
HI0106+12, Fall  , 01h06m00.7s, +12d26m57s, 19.069,  5.36,   6.00, complete
HI0126+05, Fall  , 01h26m21.5s, +05d23m08s, 19.506,  6.06,   8.12, no
HI0810+29, Fall  , 08h10m07.6s, +28d58m35s, 18.662,  5.30,   9.00, no
HI0932+24, Fall  , 09h32m08.0s, +23d37m52s, 18.571,  5.30,  10.00, poor seeing
HI0959+19, Spring, 09h59m11.8s, +18d55m35s, 18.862,  6.00,  16.00, complete
HI1023+21, Spring, 10h23m09.0s, +20d40m59s, 19.064,  5.60,   8.00, no
HI1037+21, Spring, 10h37m06.6s, +20d30m58s, 18.988,  5.80,  11.00, complete
HI1050+24, Spring, 10h49m32.4s, +23d56m38s, 19.043,  6.00,  13.00, poor seeing
HI1108+21, Spring, 11h08m04.7s, +21d14m14s, 18.678,  5.70,  14.00, no
HI1125+31, Spring, 11h25m08.5s, +30d31m30s, 18.588,  5.40,  11.00, no
HI1134+20, Spring, 11h34m29.7s, +20d12m49s, 18.880,  5.30,   7.00, poor seeing!
HI1151+20, Spring, 11h51m24.3s, +20d32m20s, 18.764,  5.30,   8.00, complete
HI1322+14, Spring, 13h22m23.2s, +14d14m08s, 18.664,  5.20,   8.00, no
HI1436+17, Spring, 14h35m57.6s, +17d10m04s, 19.064,  5.60,   8.00, poor seeing
HI1502+19, Spring, 15h01m49.8s, +19d27m01s, 18.962,  5.60,   9.00, no
HI1523+17, Spring, 15h22m59.6s, +16d42m02s, 18.962,  5.60,   9.00, no
HI2033+18, Fall  , 20h33m00.7s, +17d35m00s, 19.475,  6.01,   8.00, no
HI2238+02, Fall  , 22h37m47.3s, +02d21m05s, 18.732,  5.39,   9.17, no
HI2314+03, Fall  , 23h14m16.4s, +03d23m07s, 19.316,  6.27,  13.00, no
HI2323+27, Fall  , 23h22m50.6s, +27d07m18s, 18.651,  5.43,  10.58, no
HI2355+25, Fall  , 23h55m21.4s, +25d17m26s, 18.851,  5.31,   7.35, complete
